login_frequency,feature_usage_count,support_ticket_volume,payment_amount,account_age,churned
12.0,5.0,2.0,73.8,1830,0
12.0,4.0,2.0,64.4,90,0
13.0,6.0,4.0,103.75,1200,0
3.0,1.0,4.0,71.1,30,0
7.0,2.0,0.0,49.9,30,0
7.0,2.0,0.0,24.6,1530,0
6.0,2.0,4.0,49.25,60,1
4.0,1.0,3.0,30.1,1560,0
7.0,3.0,3.0,83.4,1530,0
6.0,1.0,1.0,20.45,30,0
14.0,6.0,0.0,75.25,930,0
7.0,1.0,2.0,20.55,1410,0
7.0,2.0,4.0,75.1,90,1
5.0,1.0,2.0,20.05,660,0
3.0,1.0,0.0,20.65,30,0
18.0,7.0,2.0,85.15,2160,0
4.0,2.0,4.0,50.15,90,1
7.0,3.0,3.0,84.95,1410,0
12.0,5.0,2.0,66.5,2160,0
8.0,4.0,2.0,63.3,1980,0
8.0,3.0,4.0,83.15,1050,0
7.0,3.0,5.0,84.9,870,0
4.0,1.0,2.0,20.55,60,0
10.0,2.0,2.0,49.25,120,0
9.0,3.0,4.0,79.85,750,1
11.0,4.0,2.0,59.6,1950,0
14.0,6.0,2.0,104.65,810,0
7.0,2.0,4.0,75.3,870,0
14.0,6.0,4.0,80.1,870,0
3.0,1.0,0.0,19.55,30,1
10.0,3.0,1.0,81.0,600,0
8.0,2.0,1.0,24.7,1740,0
13.0,4.0,2.0,86.0,420,0
4.0,2.0,0.0,25.4,2160,0
9.0,4.0,5.0,89.15,1380,0
10.0,5.0,0.0,58.25,2130,0
7.0,3.0,3.0,85.65,960,0
7.0,3.0,4.0,50.35,780,0
7.0,3.0,6.0,80.35,2040,0
2.0,1.0,0.0,20.2,60,0
5.0,1.0,0.0,20.55,1830,0
8.0,3.0,3.0,85.95,120,1
2.0,1.0,2.0,45.35,90,1
9.0,4.0,5.0,94.5,990,1
4.0,1.0,0.0,21.25,270,0
11.0,2.0,2.0,26.25,660,0
9.0,2.0,4.0,80.85,150,0
13.0,5.0,3.0,91.7,900,1
12.0,6.0,2.0,74.2,1950,0
9.0,4.0,4.0,87.25,1350,1
4.0,1.0,1.0,20.35,150,0
5.0,2.0,4.0,75.5,750,0
7.0,3.0,3.0,79.05,2160,0
9.0,4.0,3.0,90.15,810,0
11.0,3.0,3.0,50.6,960,0
16.0,7.0,3.0,110.45,900,0
13.0,6.0,2.0,101.0,2100,0
9.0,3.0,4.0,79.35,1260,0
21.0,8.0,4.0,89.85,2160,0
11.0,5.0,2.0,65.0,1410,0
9.0,3.0,3.0,80.45,60,0
11.0,5.0,6.0,98.55,300,1
7.0,2.0,1.0,24.1,1830,0
7.0,1.0,3.0,44.05,150,0
16.0,7.0,3.0,110.8,2160,0
17.0,8.0,3.0,114.95,2160,0
4.0,2.0,5.0,75.05,90,0
3.0,1.0,1.0,19.25,1440,0
11.0,4.0,1.0,90.05,1890,0
10.0,3.0,5.0,56.7,810,0
13.0,6.0,3.0,80.15,2100,0
15.0,5.0,0.0,71.35,210,0
4.0,1.0,1.0,20.25,0,0
11.0,4.0,3.0,90.35,60,0
11.0,5.0,3.0,98.55,600,1
5.0,1.0,1.0,19.7,1980,0
3.0,1.0,1.0,19.85,90,0
11.0,3.0,3.0,85.9,450,1
14.0,5.0,2.0,90.35,2160,0
4.0,1.0,0.0,20.8,30,0
9.0,3.0,5.0,89.25,660,1
3.0,1.0,4.0,70.3,90,1
12.0,5.0,2.0,66.85,2160,0
3.0,1.0,0.0,19.9,1950,0
7.0,1.0,2.0,35.8,330,0
7.0,3.0,4.0,78.85,660,0
4.0,1.0,1.0,20.4,420,0
4.0,2.0,4.0,74.25,1230,0
9.0,4.0,3.0,64.8,510,0
2.0,1.0,0.0,20.45,330,0
11.0,4.0,3.0,93.35,450,1
2.0,1.0,2.0,19.9,30,1
12.0,4.0,4.0,88.9,150,1
9.0,4.0,4.0,95.8,990,1
16.0,7.0,3.0,110.65,2160,0
6.0,2.0,3.0,40.3,90,0
8.0,3.0,3.0,82.0,60,1
15.0,7.0,1.0,107.0,1770,0
4.0,1.0,4.0,45.35,60,1
10.0,5.0,2.0,73.35,2130,0
7.0,1.0,3.0,44.8,150,0
10.0,3.0,2.0,54.75,810,0
8.0,2.0,1.0,52.2,30,1
7.0,3.0,2.0,40.6,1890,0
15.0,7.0,4.0,110.0,1380,1
9.0,3.0,5.0,55.3,2160,0
9.0,4.0,0.0,60.85,1020,0
15.0,6.0,4.0,78.4,720,0
12.0,6.0,2.0,69.65,2160,0
11.0,5.0,0.0,59.85,1800,0
15.0,6.0,3.0,76.9,2040,0
4.0,1.0,2.0,19.85,240,0
13.0,5.0,0.0,67.65,1020,0
6.0,2.0,3.0,45.0,180,0
9.0,4.0,1.0,64.2,60,0
8.0,3.0,2.0,81.7,930,0
5.0,2.0,1.0,25.55,600,0
3.0,1.0,1.0,20.0,30,0
13.0,5.0,5.0,96.75,1860,1
10.0,2.0,3.0,75.65,2100,0
11.0,5.0,1.0,98.5,300,1
6.0,2.0,2.0,23.8,1170,0
13.0,4.0,0.0,64.2,1380,0
8.0,3.0,4.0,85.35,180,1
10.0,5.0,4.0,76.8,2160,0
10.0,3.0,1.0,55.2,540,0
15.0,7.0,2.0,108.55,2130,0
11.0,5.0,5.0,101.3,1200,1
2.0,1.0,3.0,69.55,30,1
13.0,6.0,5.0,103.25,1740,1
15.0,6.0,1.0,104.0,2100,1
7.0,2.0,0.0,25.25,1260,0
4.0,1.0,3.0,30.4,1020,0
2.0,1.0,0.0,20.05,150,0
8.0,3.0,3.0,84.6,750,0
7.0,3.0,3.0,86.2,60,1
15.0,6.0,1.0,103.7,1650,0
14.0,7.0,2.0,111.2,630,1
11.0,5.0,2.0,88.0,2100,0
15.0,6.0,3.0,106.35,1830,0
16.0,6.0,1.0,79.15,1290,0
12.0,6.0,3.0,103.1,1410,0
10.0,4.0,3.0,63.95,150,0
5.0,2.0,1.0,25.8,1860,0
9.0,4.0,3.0,89.45,480,1
10.0,4.0,5.0,95.6,210,1
5.0,2.0,1.0,25.55,420,0
12.0,4.0,4.0,90.95,1800,1
9.0,3.0,1.0,44.85,1020,0
17.0,7.0,1.0,108.55,1500,1
7.0,2.0,3.0,25.05,1140,0
16.0,6.0,1.0,74.1,2100,0
9.0,4.0,7.0,88.8,1110,0
7.0,2.0,4.0,78.85,120,1
13.0,5.0,4.0,93.25,1800,0
13.0,5.0,3.0,71.4,1860,0
6.0,1.0,2.0,44.4,30,1
13.0,6.0,0.0,79.2,1080,0
3.0,1.0,0.0,20.4,1320,0
10.0,5.0,3.0,100.0,1650,1
18.0,6.0,5.0,105.0,2160,0
2.0,1.0,1.0,19.8,360,1
3.0,1.0,3.0,30.85,390,0
9.0,3.0,7.0,89.9,30,1
3.0,1.0,1.0,20.55,450,0
16.0,7.0,1.0,84.85,1950,0
5.0,2.0,4.0,33.15,360,0
17.0,8.0,0.0,92.0,2160,0
18.0,8.0,1.0,89.8,2160,0
18.0,8.0,2.0,115.8,2160,0
16.0,7.0,3.0,85.15,1560,0
6.0,2.0,3.0,24.85,60,0
10.0,4.0,1.0,64.35,150,0
4.0,1.0,1.0,20.5,2040,0
14.0,5.0,3.0,100.15,1860,1
15.0,7.0,0.0,86.05,2160,0
5.0,2.0,2.0,50.8,30,1
12.0,5.0,1.0,89.0,1980,0
14.0,6.0,0.0,64.8,2160,0
5.0,1.0,3.0,19.8,780,0
12.0,5.0,3.0,93.4,1920,0
5.0,2.0,4.0,73.65,600,1
11.0,4.0,3.0,95.1,90,1
13.0,4.0,4.0,94.65,660,1
8.0,3.0,3.0,80.6,120,1
7.0,2.0,0.0,39.0,1860,0
3.0,1.0,1.0,20.5,150,0
10.0,3.0,3.0,85.55,1770,1
7.0,2.0,1.0,26.4,90,0
14.0,6.0,3.0,98.2,2160,0
13.0,5.0,3.0,97.55,1710,0
4.0,1.0,0.0,19.95,1980,0
7.0,3.0,2.0,50.8,1800,1
11.0,5.0,3.0,99.7,1350,0
5.0,1.0,3.0,34.8,90,0
16.0,6.0,4.0,105.1,450,1
15.0,5.0,0.0,60.15,1530,0
13.0,5.0,1.0,64.75,1800,0
8.0,3.0,3.0,54.65,990,0
14.0,7.0,3.0,110.1,300,1
5.0,1.0,0.0,19.3,780,0
9.0,3.0,4.0,83.9,180,1
17.0,7.0,3.0,111.25,2010,0
5.0,2.0,1.0,35.8,1470,0
4.0,1.0,0.0,20.05,30,0
9.0,3.0,3.0,84.35,210,0
15.0,7.0,4.0,110.5,810,0
10.0,3.0,4.0,91.2,1110,0
14.0,6.0,3.0,100.55,1890,1
12.0,5.0,1.0,89.3,930,0
14.0,6.0,6.0,103.85,1500,1
7.0,3.0,3.0,81.1,960,0
2.0,0.0,3.0,24.6,30,1
7.0,3.0,2.0,81.2,1890,0
15.0,5.0,4.0,94.3,900,0
19.0,8.0,1.0,116.1,2130,0
13.0,6.0,4.0,105.55,1590,0
12.0,5.0,2.0,98.9,360,1
13.0,5.0,4.0,94.4,1500,0
5.0,1.0,3.0,19.5,60,0
15.0,5.0,4.0,98.3,270,1
9.0,4.0,3.0,93.85,510,1
12.0,6.0,4.0,105.6,1680,0
12.0,6.0,4.0,81.35,2010,0
14.0,5.0,6.0,100.5,270,1
4.0,2.0,2.0,56.4,120,0
9.0,4.0,1.0,65.35,570,0
3.0,1.0,2.0,19.95,240,0
16.0,7.0,1.0,111.25,2130,0
5.0,2.0,3.0,72.85,300,1
11.0,4.0,4.0,89.0,450,0
16.0,6.0,3.0,106.1,2160,0
4.0,1.0,0.0,20.05,360,0
7.0,2.0,2.0,25.2,2160,0
6.0,2.0,3.0,73.55,30,1
6.0,2.0,3.0,75.4,690,0
14.0,6.0,2.0,65.55,2160,0
8.0,3.0,3.0,80.7,780,0
16.0,6.0,1.0,104.55,630,0
5.0,2.0,2.0,24.15,1800,0
3.0,1.0,0.0,20.45,360,0
5.0,2.0,3.0,75.4,480,0
17.0,6.0,3.0,79.7,1890,0
10.0,3.0,5.0,81.7,660,0
13.0,6.0,0.0,76.3,960,0
8.0,3.0,3.0,79.4,90,1
10.0,3.0,5.0,81.15,390,1
12.0,6.0,2.0,103.75,2040,0
9.0,3.0,5.0,86.45,900,0
7.0,2.0,5.0,75.1,480,0
9.0,3.0,4.0,80.6,990,0
6.0,1.0,0.0,19.3,2160,0
8.0,3.0,4.0,84.6,120,1
6.0,2.0,1.0,33.6,360,0
7.0,3.0,4.0,83.25,120,0
15.0,6.0,3.0,80.85,0,0
9.0,3.0,3.0,79.05,180,1
16.0,7.0,1.0,108.05,1950,0
4.0,1.0,2.0,19.9,450,0
4.0,1.0,4.0,21.05,720,0
7.0,1.0,3.0,30.15,390,0
7.0,2.0,6.0,79.85,720,0
14.0,6.0,0.0,65.5,2160,0
15.0,6.0,6.0,104.1,1620,0
8.0,2.0,3.0,74.4,90,1
5.0,1.0,0.0,20.5,120,0
9.0,4.0,5.0,91.35,960,0
10.0,5.0,5.0,99.05,1050,1
9.0,1.0,1.0,20.5,1050,0
4.0,1.0,3.0,44.95,60,1
8.0,2.0,5.0,75.6,240,0
6.0,3.0,2.0,55.1,660,0
9.0,4.0,1.0,58.95,450,0
10.0,4.0,3.0,95.1,660,0
3.0,1.0,4.0,44.7,30,1
4.0,2.0,1.0,25.45,2130,0
7.0,3.0,2.0,56.75,120,0
15.0,7.0,2.0,81.75,750,0
6.0,3.0,3.0,86.1,960,0
4.0,1.0,2.0,29.8,210,0
5.0,1.0,2.0,20.5,510,0
8.0,3.0,3.0,60.9,240,0
20.0,6.0,1.0,73.25,1680,0
3.0,1.0,3.0,45.7,30,1
11.0,5.0,1.0,100.3,240,1
7.0,1.0,0.0,19.25,210,1
4.0,1.0,0.0,20.85,90,0
13.0,6.0,2.0,77.35,2130,0
10.0,4.0,4.0,96.0,60,1
8.0,3.0,5.0,90.55,30,1
13.0,5.0,4.0,93.85,1470,0
13.0,5.0,0.0,70.1,1740,0
3.0,1.0,3.0,30.35,1320,1
11.0,5.0,1.0,75.95,1770,0
18.0,7.0,2.0,108.05,2130,1
5.0,1.0,4.0,69.9,30,1
6.0,2.0,4.0,75.25,330,0
15.0,6.0,4.0,103.75,1860,1
9.0,3.0,2.0,54.95,1050,0
3.0,1.0,2.0,19.5,600,0
5.0,1.0,0.0,19.6,1200,0
4.0,2.0,2.0,47.85,1170,0
7.0,3.0,6.0,86.6,30,1
7.0,2.0,1.0,23.75,2160,0
6.0,3.0,3.0,80.6,990,1
4.0,1.0,3.0,43.8,360,0
5.0,1.0,0.0,19.75,30,0
6.0,1.0,4.0,19.15,810,0
3.0,1.0,1.0,19.6,1020,0
9.0,3.0,4.0,80.3,1680,0
4.0,2.0,1.0,24.35,1740,0
5.0,2.0,1.0,25.25,660,0
5.0,2.0,1.0,26.1,300,0
5.0,1.0,0.0,20.0,390,0
10.0,4.0,1.0,85.3,1050,1
2.0,1.0,3.0,70.0,1020,1
10.0,4.0,3.0,94.3,120,1
4.0,1.0,1.0,20.7,2160,0
12.0,4.0,1.0,70.3,60,0
11.0,4.0,4.0,95.35,210,1
9.0,2.0,5.0,75.5,810,1
4.0,1.0,3.0,69.55,120,0
6.0,1.0,1.0,19.85,1110,0
5.0,1.0,1.0,20.0,630,0
13.0,4.0,3.0,95.85,1590,0
8.0,4.0,2.0,90.1,540,1
3.0,1.0,4.0,68.95,60,1
12.0,5.0,4.0,99.55,960,1
4.0,1.0,1.0,20.75,690,0
5.0,2.0,5.0,50.15,90,0
13.0,5.0,0.0,58.65,2130,0
14.0,4.0,1.0,95.9,270,0
9.0,2.0,2.0,49.5,30,0
6.0,3.0,2.0,57.45,540,1
6.0,2.0,3.0,53.65,360,1
14.0,7.0,0.0,80.1,2130,0
7.0,2.0,1.0,24.4,1920,0
5.0,2.0,1.0,40.05,120,0
6.0,1.0,1.0,19.5,690,0
6.0,2.0,2.0,51.05,1170,0
9.0,3.0,1.0,54.35,840,0
6.0,3.0,4.0,84.7,150,0
8.0,3.0,3.0,86.1,1350,0
4.0,1.0,4.0,70.35,1110,0
15.0,7.0,3.0,110.0,1800,0
14.0,5.0,4.0,100.6,240,1
11.0,5.0,4.0,94.9,1410,0
7.0,3.0,5.0,83.75,780,1
9.0,4.0,2.0,88.3,90,1
5.0,1.0,4.0,69.75,1500,0
12.0,5.0,2.0,71.6,810,0
8.0,4.0,3.0,92.1,240,1
10.0,2.0,0.0,23.65,1860,0
14.0,6.0,0.0,81.85,2130,0
5.0,2.0,0.0,25.1,1980,0
17.0,8.0,3.0,114.7,2040,0
10.0,3.0,2.0,49.15,390,0
8.0,2.0,5.0,80.9,1680,0
8.0,3.0,5.0,79.45,1140,1
11.0,3.0,4.0,90.45,420,1
3.0,1.0,0.0,19.3,480,0
2.0,1.0,6.0,70.2,420,0
6.0,1.0,4.0,69.75,960,1
13.0,3.0,1.0,54.25,240,0
13.0,5.0,5.0,99.3,1290,0
14.0,6.0,0.0,74.0,1560,0
5.0,2.0,1.0,50.25,90,0
4.0,1.0,0.0,19.8,870,0
3.0,1.0,0.0,19.65,30,1
7.0,3.0,0.0,43.65,360,1
5.0,1.0,4.0,35.5,480,0
15.0,6.0,3.0,80.75,1200,0
10.0,2.0,4.0,39.5,150,1
11.0,4.0,3.0,97.1,1200,1
3.0,1.0,0.0,19.55,1080,0
8.0,2.0,5.0,80.0,150,1
9.0,3.0,4.0,84.7,300,1
8.0,3.0,5.0,89.55,60,1
15.0,4.0,3.0,90.6,690,1
3.0,1.0,1.0,20.05,780,0
14.0,7.0,5.0,112.4,2160,0
5.0,2.0,1.0,50.2,1020,0
10.0,4.0,2.0,62.25,300,0
11.0,3.0,2.0,55.7,420,0
9.0,4.0,5.0,90.05,690,1
4.0,1.0,1.0,19.65,1410,0
9.0,4.0,1.0,89.25,720,0
12.0,5.0,3.0,99.05,1470,1
7.0,3.0,2.0,54.0,600,0
2.0,1.0,4.0,69.75,60,1
5.0,2.0,2.0,49.05,60,1
12.0,4.0,2.0,56.75,660,0
10.0,5.0,6.0,98.05,210,1
4.0,1.0,1.0,21.1,30,0
13.0,5.0,3.0,96.65,1770,0
5.0,2.0,0.0,24.5,1740,0
18.0,8.0,2.0,114.5,1230,1
9.0,3.0,5.0,79.2,1770,0
6.0,1.0,4.0,69.55,90,0
5.0,1.0,3.0,20.05,960,0
15.0,5.0,3.0,98.85,1380,0
5.0,2.0,2.0,25.75,0,0
6.0,2.0,3.0,80.95,60,1
4.0,1.0,2.0,19.6,1560,0
6.0,2.0,3.0,74.3,390,1
9.0,3.0,5.0,89.7,330,1
10.0,4.0,1.0,87.65,960,0
12.0,5.0,3.0,100.45,510,1
9.0,2.0,3.0,74.75,480,0
16.0,7.0,4.0,107.45,1530,0
12.0,5.0,2.0,75.35,870,0
13.0,5.0,3.0,64.95,2100,0
13.0,6.0,1.0,100.45,2130,0
13.0,5.0,3.0,68.5,1230,0
5.0,2.0,4.0,80.55,30,0
14.0,6.0,0.0,81.25,210,0
8.0,3.0,4.0,90.4,750,1
12.0,5.0,2.0,89.55,2010,0
8.0,3.0,2.0,55.7,150,0
9.0,2.0,0.0,24.8,450,0
5.0,1.0,0.0,20.0,600,0
6.0,3.0,2.0,56.15,90,1
13.0,6.0,1.0,105.2,1620,0
3.0,1.0,4.0,19.55,1260,0
4.0,2.0,4.0,79.75,270,0
12.0,5.0,5.0,97.45,1890,0
8.0,2.0,0.0,24.25,2070,0
7.0,2.0,1.0,24.6,2070,0
4.0,2.0,4.0,50.15,1200,0
7.0,3.0,3.0,39.6,1800,0
13.0,5.0,2.0,94.4,120,1
19.0,8.0,2.0,89.85,2130,0
8.0,3.0,4.0,78.95,1110,1
11.0,5.0,6.0,98.85,960,0
7.0,3.0,2.0,53.85,1170,0
4.0,2.0,1.0,24.25,1140,0
11.0,4.0,4.0,89.45,1560,0
14.0,6.0,5.0,105.25,1440,0
12.0,5.0,0.0,59.5,2100,0
5.0,1.0,3.0,70.55,600,0
15.0,7.0,1.0,82.5,1500,0
5.0,2.0,3.0,44.85,570,1
11.0,4.0,2.0,61.6,750,0
7.0,2.0,3.0,49.05,360,0
15.0,6.0,6.0,105.65,1170,1
5.0,2.0,4.0,74.65,210,1
10.0,5.0,0.0,66.25,690,0
5.0,1.0,0.0,19.4,810,0
8.0,3.0,4.0,86.05,1410,0
4.0,1.0,3.0,19.15,780,0
11.0,4.0,2.0,64.7,420,1
14.0,6.0,3.0,104.05,330,1
8.0,1.0,0.0,19.25,60,0
7.0,3.0,7.0,81.95,780,0
19.0,8.0,2.0,114.65,2160,0
5.0,1.0,0.0,20.0,1890,0
3.0,1.0,1.0,19.8,2130,0
9.0,4.0,4.0,65.15,330,0
3.0,1.0,2.0,19.65,420,0
17.0,8.0,1.0,88.95,390,0
5.0,1.0,1.0,20.2,180,0
6.0,2.0,4.0,75.2,330,0
8.0,3.0,5.0,56.8,540,0
2.0,1.0,3.0,35.55,30,1
5.0,2.0,3.0,75.5,960,0
9.0,2.0,0.0,35.6,870,0
6.0,3.0,2.0,60.25,90,0
10.0,4.0,4.0,95.15,60,1
13.0,4.0,3.0,96.65,390,1
5.0,2.0,2.0,40.35,1230,0
3.0,1.0,1.0,18.85,30,0
6.0,2.0,3.0,54.85,210,0
9.0,4.0,3.0,64.3,1560,0
4.0,2.0,0.0,24.65,1350,0
15.0,6.0,1.0,76.1,2100,0
2.0,1.0,0.0,18.7,1590,0
11.0,5.0,3.0,97.95,1860,0
12.0,5.0,3.0,94.1,1800,0
6.0,2.0,3.0,80.4,90,1
8.0,4.0,3.0,95.1,690,0
5.0,1.0,4.0,31.35,30,1
12.0,5.0,0.0,72.35,2010,0
8.0,4.0,5.0,89.75,360,1
17.0,7.0,1.0,82.7,2130,0
5.0,1.0,0.0,19.9,750,0
8.0,3.0,4.0,53.8,150,0
8.0,2.0,4.0,51.55,780,0
3.0,1.0,0.0,19.65,30,0
8.0,3.0,3.0,44.05,2100,0
19.0,8.0,3.0,114.0,2160,0
10.0,4.0,4.0,94.4,1800,1
14.0,5.0,6.0,100.4,960,0
3.0,1.0,1.0,19.85,30,1
7.0,3.0,2.0,54.25,420,0
11.0,3.0,3.0,80.0,390,0
17.0,7.0,3.0,109.9,180,1
14.0,6.0,3.0,79.2,1380,0
15.0,5.0,2.0,101.35,450,1
14.0,5.0,2.0,94.3,1290,0
8.0,2.0,0.0,49.8,1170,0
11.0,3.0,2.0,60.05,630,1
11.0,4.0,2.0,53.75,1710,0
11.0,4.0,4.0,93.45,1590,0
9.0,4.0,4.0,87.9,540,0
11.0,3.0,4.0,60.15,30,1
16.0,4.0,2.0,61.05,1740,0
10.0,5.0,4.0,104.05,2130,0
12.0,5.0,2.0,99.25,1050,0
6.0,3.0,3.0,85.7,90,0
12.0,6.0,4.0,104.85,1140,0
14.0,6.0,1.0,69.15,1050,0
8.0,4.0,3.0,90.45,210,1
12.0,5.0,0.0,74.45,1410,0
6.0,2.0,3.0,50.45,420,0
9.0,3.0,5.0,60.0,600,0
15.0,7.0,1.0,85.25,1980,0
3.0,1.0,0.0,19.45,450,0
2.0,1.0,0.0,20.75,1260,0
10.0,3.0,4.0,78.9,510,0
13.0,6.0,5.0,104.5,1110,0
5.0,2.0,2.0,49.4,360,0
10.0,4.0,4.0,94.25,1590,1
4.0,2.0,2.0,25.0,1800,0
2.0,0.0,3.0,25.55,540,0
6.0,2.0,4.0,74.9,30,1
4.0,1.0,4.0,70.15,90,0
8.0,4.0,0.0,69.4,270,0
8.0,2.0,3.0,80.25,30,1
15.0,5.0,5.0,93.15,1680,0
4.0,1.0,3.0,69.0,510,1
9.0,4.0,1.0,66.35,330,1
3.0,1.0,5.0,69.55,210,0
4.0,1.0,0.0,20.2,2070,0
7.0,3.0,5.0,86.0,570,1
6.0,2.0,3.0,80.3,90,1
5.0,1.0,1.0,20.4,1620,0
6.0,2.0,2.0,23.75,1860,0
10.0,4.0,3.0,90.55,720,1
9.0,4.0,2.0,70.45,1860,0
13.0,4.0,3.0,65.75,510,0
0.0,0.0,2.0,24.6,270,0
13.0,5.0,1.0,69.25,1920,0
4.0,2.0,3.0,75.9,60,1
4.0,1.0,3.0,45.85,30,1
9.0,3.0,1.0,49.95,480,1
6.0,2.0,4.0,24.65,2160,0
12.0,5.0,5.0,90.4,900,0
12.0,5.0,3.0,100.85,1470,0
15.0,6.0,1.0,75.35,1830,0
10.0,4.0,4.0,87.2,1410,0
8.0,4.0,4.0,64.4,600,0
5.0,2.0,3.0,78.3,1020,1
8.0,2.0,0.0,24.7,2100,0
14.0,6.0,1.0,105.85,1620,0
14.0,6.0,1.0,98.3,1830,0
5.0,2.0,3.0,76.95,90,1
3.0,1.0,0.0,19.45,390,0
10.0,4.0,5.0,96.15,480,1
7.0,3.0,3.0,58.7,90,0
3.0,1.0,1.0,20.15,750,0
11.0,4.0,3.0,64.5,900,0
5.0,1.0,5.0,28.5,630,0
3.0,1.0,3.0,45.3,30,1
5.0,1.0,1.0,19.4,450,1
9.0,3.0,4.0,90.45,690,0
14.0,6.0,3.0,105.15,1350,0
9.0,4.0,6.0,83.15,720,0
11.0,4.0,2.0,90.15,330,1
4.0,1.0,3.0,45.05,30,1
14.0,6.0,2.0,103.2,1680,0
6.0,2.0,5.0,75.8,30,1
5.0,1.0,2.0,19.45,30,0
5.0,2.0,5.0,79.3,210,1
11.0,4.0,1.0,88.8,1650,0
3.0,1.0,0.0,30.9,60,1
19.0,7.0,1.0,85.9,2160,0
4.0,1.0,3.0,34.2,1350,0
3.0,1.0,3.0,20.15,1410,0
10.0,4.0,5.0,95.25,1380,1
6.0,2.0,3.0,50.3,60,0
7.0,3.0,1.0,80.15,60,0
4.0,2.0,4.0,51.25,360,0
10.0,4.0,4.0,89.6,2040,1
11.0,4.0,3.0,95.2,2070,0
9.0,4.0,5.0,94.8,1680,0
8.0,3.0,4.0,80.25,120,0
16.0,6.0,2.0,76.1,1920,0
16.0,7.0,3.0,110.15,1770,1
18.0,8.0,1.0,115.55,1860,0
6.0,2.0,1.0,24.65,1890,0
12.0,5.0,0.0,53.6,1590,0
5.0,1.0,1.0,19.45,150,0
12.0,5.0,6.0,88.2,1470,0
11.0,5.0,3.0,101.15,1860,0
10.0,4.0,3.0,56.8,1650,0
14.0,6.0,4.0,99.4,2130,0
3.0,1.0,2.0,20.1,2160,0
12.0,5.0,1.0,60.7,1080,0
2.0,1.0,1.0,20.95,750,0
20.0,8.0,1.0,114.85,2160,0
5.0,1.0,0.0,19.25,1080,0
8.0,3.0,2.0,62.8,30,0
17.0,6.0,5.0,105.5,2160,0
6.0,1.0,2.0,19.85,1770,0
8.0,3.0,3.0,89.5,210,1
11.0,5.0,2.0,74.1,30,0
14.0,7.0,1.0,107.5,900,0
2.0,1.0,0.0,19.55,1920,0
14.0,6.0,1.0,68.8,1890,0
14.0,7.0,2.0,84.45,2160,0
8.0,2.0,3.0,75.0,240,1
15.0,7.0,2.0,84.5,1860,0
16.0,7.0,2.0,111.2,2010,0
5.0,1.0,3.0,44.75,180,1
14.0,6.0,3.0,80.6,2100,0
9.0,2.0,4.0,80.7,600,0
5.0,2.0,5.0,75.6,150,0
10.0,5.0,3.0,57.6,720,0
5.0,1.0,2.0,44.05,330,1
16.0,7.0,2.0,110.6,2160,0
11.0,4.0,3.0,58.2,1980,0
14.0,6.0,1.0,81.0,1350,0
2.0,1.0,1.0,19.7,2070,0
8.0,3.0,4.0,85.6,450,1
7.0,3.0,2.0,59.55,840,0
19.0,8.0,2.0,115.55,2100,1
15.0,6.0,1.0,75.55,1080,0
7.0,3.0,3.0,86.6,480,1
6.0,3.0,4.0,85.2,540,1
11.0,4.0,3.0,97.65,1020,1
7.0,3.0,3.0,45.1,1260,0
16.0,5.0,1.0,70.95,1440,0
16.0,7.0,1.0,109.55,1410,1
11.0,5.0,2.0,89.55,1170,1
4.0,1.0,0.0,20.9,330,0
4.0,1.0,0.0,19.95,210,0
4.0,2.0,0.0,24.6,90,0
11.0,4.0,3.0,66.7,240,0
3.0,1.0,2.0,19.45,30,1
12.0,5.0,4.0,94.8,960,0
12.0,5.0,1.0,65.85,1800,0
5.0,1.0,1.0,19.95,300,0
5.0,2.0,1.0,24.65,2130,0
3.0,1.0,1.0,20.35,120,1
4.0,1.0,3.0,69.25,30,1
9.0,4.0,3.0,51.25,1290,0
13.0,5.0,5.0,99.5,1770,1
7.0,3.0,0.0,54.25,690,0
6.0,1.0,2.0,19.4,2160,0
6.0,3.0,0.0,56.25,660,0
2.0,0.0,4.0,25.15,30,0
9.0,2.0,1.0,23.95,2070,0
7.0,2.0,1.0,35.4,1500,0
3.0,0.0,2.0,25.2,30,1
4.0,1.0,3.0,45.0,60,1
8.0,2.0,5.0,75.35,450,0
5.0,1.0,1.0,20.4,930,0
2.0,1.0,1.0,20.15,30,1
13.0,6.0,5.0,105.0,1980,1
16.0,5.0,0.0,56.05,0,0
8.0,2.0,4.0,54.7,90,1
7.0,1.0,1.0,20.0,240,0
13.0,5.0,3.0,73.05,1920,0
5.0,1.0,1.0,20.5,840,0
10.0,5.0,3.0,100.75,1710,0
10.0,4.0,3.0,87.25,420,1
4.0,1.0,0.0,19.95,570,0
7.0,2.0,4.0,79.95,300,1
7.0,3.0,3.0,49.65,1530,0
15.0,5.0,3.0,65.65,2010,0
9.0,1.0,0.0,20.45,330,0
13.0,5.0,0.0,60.95,2160,0
4.0,1.0,1.0,20.35,1980,0
12.0,4.0,2.0,88.35,540,1
3.0,1.0,1.0,19.5,270,0
4.0,2.0,5.0,75.2,270,0
16.0,7.0,4.0,111.45,1440,0
4.0,1.0,5.0,70.15,300,0
8.0,4.0,4.0,94.75,270,1
10.0,4.0,3.0,95.05,390,1
6.0,3.0,5.0,78.45,120,1
3.0,1.0,3.0,70.2,120,1
16.0,8.0,0.0,92.0,2160,0
